שם תחנה,מספר תחנה,תאריך,"כמות גשם יומית(מ""מ)",קוד גשם יומי()
ניר יצחק                                          ,144902,23/12/2020,1,0
ניר צבי                                           ,137261,23/12/2020,14.2,0
נירים                                             ,144702,23/12/2020,4.2,0
ניצן                                              ,140855,23/12/2020,3.3,0
ניצנים קבוץ                                       ,140900,23/12/2020,1.2,0
עפרה                                              ,241933,23/12/2020,5.3,5
עומר                                              ,251599,23/12/2020,2.9,0
אור הנר שדות                                      ,143221,23/12/2020,1,0
אורות                                             ,140818,23/12/2020,0.7,0
אורטל                                             ,2496261,23/12/2020,0.7,0
פלמחים                                            ,137350,23/12/2020,0.5,7
פארק הכרמל                                        ,120770,23/12/2020,9.3,0
פרוד                                              ,212601,23/12/2020,2,5
פקיעין                                            ,211401,23/12/2020,6.7,0
פסגות                                             ,242320,23/12/2020,12,5
פצאל                                              ,323255,23/12/2020,0.3,5
קדימה                                             ,132905,23/12/2020,1.4,5
קרני שומרון                                       ,241220,23/12/2020,1.3,0
קדמה                                              ,141255,23/12/2020,1.5,0
קדומים                                            ,241135,23/12/2020,10.4,5
קשת                                               ,2496600,23/12/2020,1,7
קבוצת יבנה                                        ,140198,23/12/2020,6.6,0
קבוצת יבנה מאוישת                                 ,140201,23/12/2020,6.3,0
קריית ענבים                                       ,243501,23/12/2020,5.2,0
קריית טבעון                                       ,214580,23/12/2020,11,5
רם-און                                            ,230521,23/12/2020,3.2,0
רמת דוד                                           ,220350,23/12/2020,5.7,0
רמת הכובש                                         ,133782,23/12/2020,2,0
רמת השופט                                         ,121350,23/12/2020,5.5,0
רמת מגשימים                                       ,2494353,23/12/2020,2,5
רמת רזיאל                                         ,245005,23/12/2020,7.4,5
רמת צבי                                           ,221633,23/12/2020,10.3,0
רמות                                              ,2320105,23/12/2020,1.5,7
